resp,S1,S2,S3
1,1,2,3
1,1,2,4
0,5,2,1
1,6,2,1
0,1,2,7
1,1,3,4
0,5,3,1
0,6,3,1
1,1,3,7
1,1,4,5
0,6,4,1
1,7,4,1
0,1,5,6
1,7,5,1
1,7,6,1
1,4,3,2
0,2,3,5
0,2,3,6
0,2,3,7
1,2,4,5
1,6,4,2
1,2,4,7
1,6,5,2
0,7,5,2
0,7,6,2
0,5,4,3
0,6,4,3
1,7,4,3
0,3,5,6
1,3,5,7
0,3,6,7
1,6,5,4
0,7,5,4
1,7,6,4
1,5,6,7
