resp,S1,S2,S3
0,3,2,1
0,4,2,1
0,1,2,5
0,6,2,1
0,7,2,1
0,4,3,1
0,5,3,1
1,6,3,1
0,7,3,1
1,1,4,5
1,1,4,6
1,1,4,7
1,6,5,1
0,1,5,7
0,7,6,1
0,2,3,4
0,5,3,2
1,6,3,2
1,7,3,2
1,5,4,2
1,6,4,2
0,2,4,7
0,2,5,6
0,7,5,2
1,2,6,7
1,5,4,3
0,6,4,3
1,7,4,3
0,6,5,3
1,7,5,3
1,7,6,3
0,6,5,4
1,4,5,7
0,7,6,4
1,7,6,5
